ecoregion1,ecoregion2,jaccard
Northern Indochina Subtropical Forests,Great Lakes,0
Northern Indochina Subtropical Forests,Valdivian Temperate Forests,0
Northern Indochina Subtropical Forests,Tocantins/Pindare Moist Forests,0.009900990099009901
Northern Indochina Subtropical Forests,Northwestern Himalayan Alpine Shrub And Meadows,0.015625
Northern Indochina Subtropical Forests,Tian Shan Montane Conifer Forests,0.016129032258064516
Northern Indochina Subtropical Forests,Kazakh Forest Steppe,0.03333333333333333
Northern Indochina Subtropical Forests,Santa Marta Páramo,0.01639344262295082
Northern Indochina Subtropical Forests,Santa Marta Montane Forests,0
Northern Indochina Subtropical Forests,Humid Chaco,0
Northern Indochina Subtropical Forests,Southern Andean Yungas,0
Northern Indochina Subtropical Forests,Alto Paraná Atlantic Forests,0
Northern Indochina Subtropical Forests,Bolivian Montane Dry Forests,0
Northern Indochina Subtropical Forests,Purus-Madeira Moist Forests,0.007633587786259542
Northern Indochina Subtropical Forests,Araucaria Moist Forests,0
Northern Indochina Subtropical Forests,Southwest Amazon Moist Forests,0
Northern Indochina Subtropical Forests,Bahia Coastal Forests,0.010101010101010102
Northern Indochina Subtropical Forests,Northwest Iberian Montane Forests,0
Northern Indochina Subtropical Forests,Central American Montane Forests,0
Northern Indochina Subtropical Forests,Japurá-Solimoes-Negro Moist Forests,0
Northern Indochina Subtropical Forests,Beringian Tundra,0
Northern Indochina Subtropical Forests,Prairie-Forest Border,0
Northern Indochina Subtropical Forests,Gulf Coast Prairies And Marshes,0.00847457627118644
Northern Indochina Subtropical Forests,Canadian Rocky Mountains,0
Northern Indochina Subtropical Forests,Northwestern Andean Montane Forests,0
Northern Indochina Subtropical Forests,Central Appalachian Forest,0
Northern Indochina Subtropical Forests,Lower New England / Northern Piedmont,0
Northern Indochina Subtropical Forests,Bahia Interior Forests,0.0049504950495049506
Northern Indochina Subtropical Forests,Caatinga,0
Northern Indochina Subtropical Forests,Atlantic Coast Restingas,0
Northern Indochina Subtropical Forests,English Lowlands Beech Forests,0
Northern Indochina Subtropical Forests,Northern Acacia-Commiphora Bushlands And Thickets,0
Northern Indochina Subtropical Forests,Scandinavian And Russian Taiga,0
Northern Indochina Subtropical Forests,Honshu Alpine Conifer Forests,0.012048192771084338
Northern Indochina Subtropical Forests,Mediterranean Conifer And Mixed Forests,0
Northern Indochina Subtropical Forests,S.E. Alaska - B.C. Coastal Forest And Mountains,0
Northern Indochina Subtropical Forests,Alaska-Yukon Arctic,0
Northern Indochina Subtropical Forests,Bristol Bay Basin,0
Northern Indochina Subtropical Forests,Kamchatka-Kurile Meadows And Sparse Forests,0
Northern Indochina Subtropical Forests,St. Lawrence - Champlain Valley,0
Northern Indochina Subtropical Forests,Cook Inlet Basin,0
Northern Indochina Subtropical Forests,Chocó-Darién Moist Forests,0
Northern Indochina Subtropical Forests,Pyrenees Conifer And Mixed Forests,0
Northern Indochina Subtropical Forests,Okanagan,0
Northern Indochina Subtropical Forests,Montane Cordillera,0
Northern Indochina Subtropical Forests,Boreal Plains,0
Northern Indochina Subtropical Forests,Mediterranean Acacia-Argania Dry Woodlands And Succulent Thickets,0
Northern Indochina Subtropical Forests,Madagascar Subhumid Forests,0
Northern Indochina Subtropical Forests,Patagonian Steppe,0
Northern Indochina Subtropical Forests,High Allegheny Plateau,0
Northern Indochina Subtropical Forests,Tumbes-Piura Dry Forests,0
Northern Indochina Subtropical Forests,Northern Tallgrass Prairie,0
Northern Indochina Subtropical Forests,North Atlantic Coast,0
Northern Indochina Subtropical Forests,Central Andean Dry Puna,0
Northern Indochina Subtropical Forests,South Atlantic Coastal Plain,0
Northern Indochina Subtropical Forests,California North Coast,0
Northern Indochina Subtropical Forests,Central American Atlantic Moist Forests,0
Northern Indochina Subtropical Forests,Magdalena Valley Montane Forests,0
Northern Indochina Subtropical Forests,Superior Mixed Forest,0
Northern Indochina Subtropical Forests,Northern Appalachian / Acadian,0
Northern Indochina Subtropical Forests,Boreal Cordillera,0
Northern Indochina Subtropical Forests,Taiga Plains,0
Northern Indochina Subtropical Forests,North Cascades,0
Northern Indochina Subtropical Forests,Mediterranean Woodlands And Forests,0
Northern Indochina Subtropical Forests,Cantabrian Mixed Forests,0
Northern Indochina Subtropical Forests,Caucasus Mixed Forests,0
Northern Indochina Subtropical Forests,Crimean Submediterranean Forest Complex,0
Northern Indochina Subtropical Forests,Peninsular Malaysian Rain Forests,0
Northern Indochina Subtropical Forests,Oaxacan Montane Forests,0
Northern Indochina Subtropical Forests,Negro-Branco Moist Forests,0
Northern Indochina Subtropical Forests,Iberian Conifer Forests,0
Northern Indochina Subtropical Forests,Chiquitano Dry Forests,0
Northern Indochina Subtropical Forests,Kimberly Tropical Savanna,0
Northern Indochina Subtropical Forests,Northern Andean Páramo,0
Northern Indochina Subtropical Forests,East Cascades - Modoc Plateau,0
Northern Indochina Subtropical Forests,Atlantic Dry Forests,0
Northern Indochina Subtropical Forests,Lowland Fynbos And Renosterveld,0
Northern Indochina Subtropical Forests,Euxine-Colchic Broadleaf Forests,0
Northern Indochina Subtropical Forests,Northeastern Spain And Southern France Mediterranean Forests,0
Northern Indochina Subtropical Forests,Carpathian Montane Forests,0.014925373134328358
Northern Indochina Subtropical Forests,Saharan Halophytics,0
Northern Indochina Subtropical Forests,Northern New Guinea Lowland Rain And Freshwater Swamp Forests,0.016666666666666666
Northern Indochina Subtropical Forests,Central Range Montane Rain Forests,0
Northern Indochina Subtropical Forests,Islas Revillagigedo Dry Forests,0
Northern Indochina Subtropical Forests,Uatuma-Trombetas Moist Forests,0.013888888888888888
Northern Indochina Subtropical Forests,Southern Atlantic Mangroves,0
Northern Indochina Subtropical Forests,Espinal,0
Northern Indochina Subtropical Forests,Louisiade Archipelago Rain Forests,0
Northern Indochina Subtropical Forests,Eastern Australian Temperate Forests,0
Northern Indochina Subtropical Forests,Galápagos Islands Scrubland Mosaic,0
Northern Indochina Subtropical Forests,Southern Andean Steppe,0
Northern Indochina Subtropical Forests,Cape Verde Islands Dry Forests,0.017543859649122806
Northern Indochina Subtropical Forests,Nansei Islands Subtropical Evergreen Forests,0
Northern Indochina Subtropical Forests,Taiheiyo Evergreen Forests,0
Northern Indochina Subtropical Forests,Taiheiyo Montane Deciduous Forests,0
Northern Indochina Subtropical Forests,Po Basin Mixed Forests,0
Northern Indochina Subtropical Forests,Llanos,0
Northern Indochina Subtropical Forests,Purus Varzeá,0
Northern Indochina Subtropical Forests,Mato Grosso Seasonal Forests,0
Northern Indochina Subtropical Forests,Atacama Desert,0
Northern Indochina Subtropical Forests,Western Ecuador Moist Forests,0
Northern Indochina Subtropical Forests,Magellanic Subpolar Forests,0
Northern Indochina Subtropical Forests,Canary Islands Dry Woodlands And Forests,0
Northern Indochina Subtropical Forests,Sakhalin Island Taiga,0
Northern Indochina Subtropical Forests,Huon Peninsula Montane Rain Forests,0
Northern Indochina Subtropical Forests,Napo Moist Forests,0
Northern Indochina Subtropical Forests,Comoros Forests,0
Northern Indochina Subtropical Forests,California Central Coast,0
Northern Indochina Subtropical Forests,Marquesas Tropical Moist Forests,0
Northern Indochina Subtropical Forests,Northland Temperate Kauri Forests,0.014492753623188406
Northern Indochina Subtropical Forests,Central Shortgrass Prairie,0
Northern Indochina Subtropical Forests,Humid Pampas,0
Northern Indochina Subtropical Forests,Ozarks,0
Northern Indochina Subtropical Forests,Northwestern Thorn Scrub Forests,0
Northern Indochina Subtropical Forests,Florida Peninsula,0
Northern Indochina Subtropical Forests,Nihonkai Evergreen Forests,0
Northern Indochina Subtropical Forests,North Saharan Steppe And Woodlands,0
Northern Indochina Subtropical Forests,Cantebury-Otago Tussock Grasslands,0.018518518518518517
Northern Indochina Subtropical Forests,Richmond Temperate Forests,0.017857142857142856
Northern Indochina Subtropical Forests,North Island Temperate Forests,0.017543859649122806
Northern Indochina Subtropical Forests,Anatolian Conifer And Deciduous Mixed Forests,0
Northern Indochina Subtropical Forests,Eastern Anatolian Montane Steppe,0
Northern Indochina Subtropical Forests,Mediterranean Dry Woodlands And Steppe,0
Northern Indochina Subtropical Forests,Central Anatolian Steppe,0
Northern Indochina Subtropical Forests,Miskito Pine Forests,0
Northern Indochina Subtropical Forests,Mindoro Rain Forests,0
Northern Indochina Subtropical Forests,Madeira Evergreen Forests,0
Northern Indochina Subtropical Forests,Albertine Rift Montane Forests,0
Northern Indochina Subtropical Forests,East European Forest Steppe,0
Northern Indochina Subtropical Forests,Rakiura Island Temperate Forests,0
Northern Indochina Subtropical Forests,South Island Temperate Forests,0
Northern Indochina Subtropical Forests,Antipodes Subantarctic Islands Tundra,0
Northern Indochina Subtropical Forests,Central Range Sub-Alpine Grasslands,0
Northern Indochina Subtropical Forests,Dry Chaco,0
Northern Indochina Subtropical Forests,Marajó Varzeá,0
Northern Indochina Subtropical Forests,Sahara Desert,0
Northern Indochina Subtropical Forests,Central Deccan Plateau Dry Deciduous Forests,0.018867924528301886
Northern Indochina Subtropical Forests,Ecuadorian Dry Forests,0
Northern Indochina Subtropical Forests,Nile Delta Flooded Savanna,0
Northern Indochina Subtropical Forests,Columbia Plateau,0
Northern Indochina Subtropical Forests,Bolivian Yungas,0
Northern Indochina Subtropical Forests,Lake Chad Flooded Savanna,0
Northern Indochina Subtropical Forests,Southern Anatolian Montane Conifer And Deciduous Forests,0
Northern Indochina Subtropical Forests,Northern Anatolian Conifer And Deciduous Forests,0
Northern Indochina Subtropical Forests,East Siberian Taiga,0
Northern Indochina Subtropical Forests,Central Andean Puna,0
Northern Indochina Subtropical Forests,Ruwenzori-Virunga Montane Moorlands,0
Northern Indochina Subtropical Forests,Arabian Desert And East Sahero-Arabian Xeric Shrublands,0
Northern Indochina Subtropical Forests,Aspen Parkland,0
Northern Indochina Subtropical Forests,Sahelian Acacia Savanna,0
Northern Indochina Subtropical Forests,Gissaro-Alai Open Woodlands,0
Northern Indochina Subtropical Forests,High Monte,0
Northern Indochina Subtropical Forests,Apache Highlands,0
Northern Indochina Subtropical Forests,Alaska Peninsula,0
Northern Indochina Subtropical Forests,Socotra Island Xeric Shrublands,0
Northern Indochina Subtropical Forests,Talamancan Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Huang He Plain Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Central China Loess Plateau Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Alaska Range,0.006944444444444444
Xingu-Tocantins-Araguaia Moist Forests,Yukon Plateau And Flats,0
Xingu-Tocantins-Araguaia Moist Forests,Central European Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Dinaric Mountains Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Pannonian Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Pontic Steppe,0
Xingu-Tocantins-Araguaia Moist Forests,Murray-Darling Woodlands And Mallee,0
Xingu-Tocantins-Araguaia Moist Forests,Ogasawara Subtropical Moist Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Madagascar Lowland Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Greater Negros-Panay Rain Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Sarmatic Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Central Zambezian Miombo Woodlands,0
Xingu-Tocantins-Araguaia Moist Forests,Southern Rift Montane Forest-Grassland Mosaic,0
Xingu-Tocantins-Araguaia Moist Forests,Atlantic Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Celtic Broadleaf Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Chao Phraya Freshwater Swamp Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Upper Gangetic Plains Moist Deciduous Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Western Himalayan Broadleaf Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Deccan Thorn Scrub Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Central Asian Northern Desert,0
Xingu-Tocantins-Araguaia Moist Forests,Central Anatolian Steppe And Woodlands,0
Xingu-Tocantins-Araguaia Moist Forests,Balkan Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Eastern Cordillera Real Montane Forests,0.007936507936507936
Xingu-Tocantins-Araguaia Moist Forests,Peruvian Yungas,0.004728132387706856
Xingu-Tocantins-Araguaia Moist Forests,Western European Broadleaf Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Himalayan Subtropical Pine Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Jos Plateau Forest-Grassland Mosaic,0
Xingu-Tocantins-Araguaia Moist Forests,Iberian Sclerophyllous And Semi-Deciduous Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Baltic Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Aegean And Western Turkey Sclerophyllous And Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Zambezian And Mopane Woodlands,0
Xingu-Tocantins-Araguaia Moist Forests,Madeira-Tapajós Moist Forests,0.05454545454545454
Xingu-Tocantins-Araguaia Moist Forests,Tapajós-Xingu Moist Forests,0.06557377049180328
Xingu-Tocantins-Araguaia Moist Forests,Cross-Sanaga-Bioko Coastal Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Southwest Iberian Mediterranean Sclerophyllous And Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Scandinavian Montane Birch Forest And Grasslands,0
Xingu-Tocantins-Araguaia Moist Forests,Central Mixed-Grass Prairie,0.022222222222222223
Xingu-Tocantins-Araguaia Moist Forests,Uruguayan Savanna,0.014925373134328358
Xingu-Tocantins-Araguaia Moist Forests,Pernambuco Interior Forests,0.021739130434782608
Xingu-Tocantins-Araguaia Moist Forests,Tyrrhenian-Adriatic Sclerophyllous And Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Yunnan Plateau Subtropical Evergreen Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Northern Triangle Subtropical Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Hainan Island Monsoon Rain Forests,0
Xingu-Tocantins-Araguaia Moist Forests,South Western Ghats Montane Rain Forests,0
Xingu-Tocantins-Araguaia Moist Forests,South Western Ghats Moist Deciduous Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Trans-Mexican Volcanic Belt Pine-Oak Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Northwestern Congolian Lowland Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Changjiang Plain Evergreen Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Guizhou Plateau Broadleaf And Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Pantanal,0.014285714285714285
Xingu-Tocantins-Araguaia Moist Forests,Chihuahuan Desert,0
Xingu-Tocantins-Araguaia Moist Forests,Interior Alaska Taiga,0
Xingu-Tocantins-Araguaia Moist Forests,Chilean Matorral,0
Xingu-Tocantins-Araguaia Moist Forests,Cordillera Central Páramo,0
Xingu-Tocantins-Araguaia Moist Forests,Ucayali Moist Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Central Andean Wet Puna,0
Xingu-Tocantins-Araguaia Moist Forests,Marañón Dry Forests,0.008928571428571428
Xingu-Tocantins-Araguaia Moist Forests,Sechura Desert,0
Xingu-Tocantins-Araguaia Moist Forests,Cerrado,0.028409090909090908
Xingu-Tocantins-Araguaia Moist Forests,Serra Do Mar Coastal Forests,0.021052631578947368
Xingu-Tocantins-Araguaia Moist Forests,Cordillera Oriental Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Eastern Guinean Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Ural Montane Forests And Tundra,0
Xingu-Tocantins-Araguaia Moist Forests,Alps Conifer And Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Gulf Of Alaska Mountains And Fjordlands,0
Xingu-Tocantins-Araguaia Moist Forests,Sayan Montane Conifer Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Selenge-Orkhon Forest Steppe,0
Xingu-Tocantins-Araguaia Moist Forests,Cauca Valley Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Great Central Valley,0.012658227848101266
Xingu-Tocantins-Araguaia Moist Forests,Arizona-New Mexico Mountains,0
Xingu-Tocantins-Araguaia Moist Forests,Southern Rocky Mountains,0
Xingu-Tocantins-Araguaia Moist Forests,Boreal Shield,0
Xingu-Tocantins-Araguaia Moist Forests,Great Lakes,0
Xingu-Tocantins-Araguaia Moist Forests,Valdivian Temperate Forests,0.009523809523809525
Xingu-Tocantins-Araguaia Moist Forests,Tocantins/Pindare Moist Forests,0.039473684210526314
Xingu-Tocantins-Araguaia Moist Forests,Northwestern Himalayan Alpine Shrub And Meadows,0
Xingu-Tocantins-Araguaia Moist Forests,Tian Shan Montane Conifer Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Kazakh Forest Steppe,0
Xingu-Tocantins-Araguaia Moist Forests,Santa Marta Páramo,0
Xingu-Tocantins-Araguaia Moist Forests,Santa Marta Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Humid Chaco,0.02631578947368421
Xingu-Tocantins-Araguaia Moist Forests,Southern Andean Yungas,0
Xingu-Tocantins-Araguaia Moist Forests,Alto Paraná Atlantic Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Bolivian Montane Dry Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Purus-Madeira Moist Forests,0.04807692307692308
Xingu-Tocantins-Araguaia Moist Forests,Araucaria Moist Forests,0.030303030303030304
Xingu-Tocantins-Araguaia Moist Forests,Southwest Amazon Moist Forests,0.027522935779816515
Xingu-Tocantins-Araguaia Moist Forests,Bahia Coastal Forests,0.04054054054054054
Xingu-Tocantins-Araguaia Moist Forests,Northwest Iberian Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Central American Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Japurá-Solimoes-Negro Moist Forests,0.0196078431372549
Xingu-Tocantins-Araguaia Moist Forests,Beringian Tundra,0
Xingu-Tocantins-Araguaia Moist Forests,Prairie-Forest Border,0
Xingu-Tocantins-Araguaia Moist Forests,Gulf Coast Prairies And Marshes,0.02127659574468085
Xingu-Tocantins-Araguaia Moist Forests,Canadian Rocky Mountains,0
Xingu-Tocantins-Araguaia Moist Forests,Northwestern Andean Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Central Appalachian Forest,0
Xingu-Tocantins-Araguaia Moist Forests,Lower New England / Northern Piedmont,0
Xingu-Tocantins-Araguaia Moist Forests,Bahia Interior Forests,0.011235955056179775
Xingu-Tocantins-Araguaia Moist Forests,Caatinga,0.02127659574468085
Xingu-Tocantins-Araguaia Moist Forests,Atlantic Coast Restingas,0.024390243902439025
Xingu-Tocantins-Araguaia Moist Forests,English Lowlands Beech Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Northern Acacia-Commiphora Bushlands And Thickets,0
Xingu-Tocantins-Araguaia Moist Forests,Scandinavian And Russian Taiga,0
Xingu-Tocantins-Araguaia Moist Forests,Honshu Alpine Conifer Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Mediterranean Conifer And Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,S.E. Alaska - B.C. Coastal Forest And Mountains,0
Xingu-Tocantins-Araguaia Moist Forests,Alaska-Yukon Arctic,0
Xingu-Tocantins-Araguaia Moist Forests,Bristol Bay Basin,0
Xingu-Tocantins-Araguaia Moist Forests,Kamchatka-Kurile Meadows And Sparse Forests,0
Xingu-Tocantins-Araguaia Moist Forests,St. Lawrence - Champlain Valley,0.020833333333333332
Xingu-Tocantins-Araguaia Moist Forests,Cook Inlet Basin,0
Xingu-Tocantins-Araguaia Moist Forests,Chocó-Darién Moist Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Pyrenees Conifer And Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Okanagan,0
Xingu-Tocantins-Araguaia Moist Forests,Montane Cordillera,0
Xingu-Tocantins-Araguaia Moist Forests,Boreal Plains,0.014285714285714285
Xingu-Tocantins-Araguaia Moist Forests,Mediterranean Acacia-Argania Dry Woodlands And Succulent Thickets,0
Xingu-Tocantins-Araguaia Moist Forests,Madagascar Subhumid Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Patagonian Steppe,0.011363636363636364
Xingu-Tocantins-Araguaia Moist Forests,High Allegheny Plateau,0
Xingu-Tocantins-Araguaia Moist Forests,Tumbes-Piura Dry Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Northern Tallgrass Prairie,0
Xingu-Tocantins-Araguaia Moist Forests,North Atlantic Coast,0
Xingu-Tocantins-Araguaia Moist Forests,Central Andean Dry Puna,0
Xingu-Tocantins-Araguaia Moist Forests,South Atlantic Coastal Plain,0
Xingu-Tocantins-Araguaia Moist Forests,California North Coast,0
Xingu-Tocantins-Araguaia Moist Forests,Central American Atlantic Moist Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Magdalena Valley Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Superior Mixed Forest,0
Xingu-Tocantins-Araguaia Moist Forests,Northern Appalachian / Acadian,0
Xingu-Tocantins-Araguaia Moist Forests,Boreal Cordillera,0
Xingu-Tocantins-Araguaia Moist Forests,Taiga Plains,0
Xingu-Tocantins-Araguaia Moist Forests,North Cascades,0
Xingu-Tocantins-Araguaia Moist Forests,Mediterranean Woodlands And Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Cantabrian Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Caucasus Mixed Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Crimean Submediterranean Forest Complex,0
Xingu-Tocantins-Araguaia Moist Forests,Peninsular Malaysian Rain Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Oaxacan Montane Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Negro-Branco Moist Forests,0.024390243902439025
Xingu-Tocantins-Araguaia Moist Forests,Iberian Conifer Forests,0
Xingu-Tocantins-Araguaia Moist Forests,Chiquitano Dry Forests,0.02040816326530612
Xingu-Tocantins-Araguaia Moist Forests,Kimberly Tropical Savanna,0
Xingu-Tocantins-Araguaia Moist Forests,Northern Andean Páramo,0
Xingu-Tocantins-Araguaia Moist Forests,East Cascades - Modoc Plateau,0
Xingu-Tocantins-Araguaia Moist Forests,Atlantic Dry Forests,0.025
